FID_TAZ2022_Ham_Cen,TTS2022,PD_no,PD_name,Mun_no,Mun_name,Reg_no,Reg_name,Internal,Shape_Leng,ORIG_FID,FID_LRTRoute_2kmBuffer,x_coordinate,y_coordinate
116,6117,45,Stoney Creek,45,Stoney Creek,6,City of Hamilton,5079,3434.504043620000175,116,1,601275.970800000242889,4785380.893300000578165
117,6118,45,Stoney Creek,45,Stoney Creek,6,City of Hamilton,5080,3081.639009099999839,117,1,600371.606200000271201,4785409.263399999588728
255,6256,46,Hamilton,46,Hamilton,6,City of Hamilton,5241,6428.134463579999647,255,1,599009.890399999916553,4785483.467800000682473
122,6123,45,Stoney Creek,45,Stoney Creek,6,City of Hamilton,5093,3579.575936329999877,122,1,601421.597299999557436,4786092.018300000578165
124,6125,45,Stoney Creek,45,Stoney Creek,6,City of Hamilton,5099,4111.006459809999797,124,1,600516.422500000335276,4786297.746799999848008
167,6168,46,Hamilton,46,Hamilton,6,City of Hamilton,5101,5056.939833819999876,167,1,596874.382600000128150,4786335.900900000706315
170,6171,46,Hamilton,46,Hamilton,6,City of Hamilton,5107,3288.507468230000086,170,1,599718.029000000096858,4786510.936499999836087
172,6173,46,Hamilton,46,Hamilton,6,City of Hamilton,5111,5319.880709690000003,172,1,598842.466400000266731,4786692.847200000658631
173,6174,46,Hamilton,46,Hamilton,6,City of Hamilton,5114,3748.231703580000158,173,1,595664.015800000168383,4786741.554199999198318
176,6177,46,Hamilton,46,Hamilton,6,City of Hamilton,5117,3390.860294139999951,176,1,598139.906000000424683,4787004.092900000512600
177,6178,46,Hamilton,46,Hamilton,6,City of Hamilton,5118,4177.672768309999810,177,1,601660.027099999599159,4787007.350800000131130
178,6179,46,Hamilton,46,Hamilton,6,City of Hamilton,5120,3576.057135659999858,178,1,597550.699799999594688,4787121.753799999132752
180,6181,46,Hamilton,46,Hamilton,6,City of Hamilton,5122,3716.286354599999868,180,1,594794.994099999777973,4787156.335999999195337
260,6261,46,Hamilton,46,Hamilton,6,City of Hamilton,5126,1783.187122809999892,260,1,600229.007899999618530,4787182.680800000205636
181,6182,46,Hamilton,46,Hamilton,6,City of Hamilton,5123,3611.294768350000140,181,1,600857.499900000169873,4787301.303400000557303
186,6187,46,Hamilton,46,Hamilton,6,City of Hamilton,5130,3939.571024729999863,186,1,594081.226900000125170,4787476.552300000563264
184,6185,46,Hamilton,46,Hamilton,6,City of Hamilton,5127,4067.853791550000096,184,1,596872.993099999614060,4787479.423200000077486
187,6188,46,Hamilton,46,Hamilton,6,City of Hamilton,5131,4344.990765769999598,187,1,599634.162100000306964,4787553.946499999612570
183,6184,46,Hamilton,46,Hamilton,6,City of Hamilton,5064,1904.219044449999956,183,1,600369.314100000075996,4787675.848699999973178
