Mon Mar 23 2026 09:06:08 GMT-0400 (Eastern Daylight Time) - Run Time: 3358ms

Cross Tabulation Query Form - Trip - 2022

Row: 2022 TTS zone of origin - tts22_orig
Column: 2022 TTS zone of destination - tts22_dest


Filters:
Regional municipality of household - region_hhld In 6, 
and
Primary travel mode of trip - mode_prime In D, P, T, U, 
and
Start time of trip - start_time In 530 - 2300

Trip 2022
ROW : tts22_orig
COLUMN : tts22_dest
  tts22_orig  tts22_dest      total
        1001        6191         40
        1001        6208         25
        1002        6130         14
        1003        6079         84
        1005        6224          7
        1006        6048         35
        1006        6178         18
        1014        6180         16
        1014        6195         15
        1015        6214          7
        1017        6250         19
        1022        1291         12
        1022        6145         12
        1022        6241         29
        1022        6245         14
        1024        6193         32
        1025        6048         66
        1025        6179         82
        1025        6254         10
        1033        6168         19
        1034        6189         23
        1035        1015          7
        1036        5156        141
        1036        6031         36
        1037        5134          9
        1037        6031         13
        1037        6045         69
        1037        6157         24
        1038        6154         28
        1038        6207         19
        1038        6229          5
        1043        6057          4
        1044        5349         23
        1045        3127         58
        1045        6216         22
        1045        6243         33
        1046        4696         10
        1047        6048         32
        1047        6134         18
        1048        1094         40
        1049        6208         13
        1050        6148         15
        1051        6044         33
        1051        6062         22
        1051        6106         38
        1051        6110         61
        1051        6190         88
        1051        6222         53
        1051        6224          7
        1052        5117         14
        1053        6247         35
        1054        1037          9
        1054        6119         32
        1054        6161         21
        1055        1512         52
        1055        6066        104
        1055        6145         40
        1055        6153         10
        1055        6161         18
        1055        6199         13
        1055        6244         23
        1055        6256         26
        1056        6134         10
        1056        6138         41
        1057        6030         14
        1057        6192          7
        1057        6205         29
        1058        6205          3
        1058        6213         13
        1059        6066         12
        1059        6138        195
        1059        6152         52
        1060        6180         11
        1060        6239         35
        1061        6228         15
        1062        6048          8
        1062        6072         18
        1063        6100         24
        1063        6158         34
        1063        6179         15
        1063        6216         48
        1063        6254         26
        1064        6103          6
        1064        6226         23
        1064        6230         13
        1065        6013         27
        1065        6069         15
        1065        6182         24
        1065        6218         20
        1066        6193         19
        1067        6031         23
        1067        6048        158
        1067        6057         20
        1067        6133         11
        1067        6149         34
        1067        6168         24
        1067        6207         11
        1067        6229         31
        1067        6256         29
        1068        6258         25
        1069        6217          8
        1069        6228          7
        1070        6050          6
        1070        6158         28
        1072        5163         24
        1072        6124         47
        1072        6170          9
        1072        6189         10
        1072        6213         13
        1072        6224         26
        1073        1127         15
        1073        6134         16
        1073        6224          8
        1074        6034         27
        1074        6044         56
        1074        6196         24
        1074        6225         20
        1076        6133         15
        1078        6156         21
        1079        6220         13
        1079        6256         20
        1080        1185         32
        1080        6104         20
        1080        6245          9
        1081        1046         10
        1081        6011          8
        1082        6182         34
        1083        6166         18
        1084        5306          6
        1087        1412         41
        1087        6103         41
        1088        4358         26
        1088        6008         26
        1088        6110         12
        1089        6170         11
        1092        6031         11
        1092       98008         16
        1093        6167         21
        1093        6250         17
        1094        1520         40
        1098        6018          6
        1099        6111         75
        1104        1067         14
        1104        6156         10
        1108        6235         15
        1109        5036         21
        1109        6220         21
        1112        1129         49
        1112        6208          6
        1112        6226         11
        1113        6110         16
        1123        6149         24
        1123        6178         45
        1124        6146         11
        1124        6192        166
        1125        1098          6
        1125        6208         38
        1126        6146         13
        1127        6055         15
        1127        6237         17
        1129        6204         49
        1133        5150          9
        1134        1334         29
        1135        6129         39
        1135        6209         16
        1136        6031         33
        1136        6121         30
        1136        6265        100
        1141        6014         24
        1141        6124         42
        1141        6187         68
        1150        6130         11
        1151        6167         19
        1155        6008         20
        1155        6209          7
        1156        6011         24
        1158        6200          8
        1159        5299         12
        1166        1159         12
        1166        6146         22
        1167        3062         16
        1167        6175         17
        1168        1211         11
        1168        6115         16
        1168        6247         17
        1170        6054         15
        1171        6177         10
        1171        6192         14
        1178        1180         11
        1178        6029         32
        1180        1168         11
        1184        4734         47
        1185        3139         32
        1189        6119         54
        1191        1316          5
        1191        1613         27
        1191        6014         15
        1197        6213         16
        1198        4637         14
        1198        6007         23
        1200        6250         21
        1207        6169        113
        1210        6038         51
        1211        1178         11
        1212        1230          4
        1212        6247         12
        1213        1216         29
        1216        1295         29
        1217        1076         15
        1221        6146         17
        1221        6241         10
        1225        1123         21
        1225       23038          4
        1230        1204          4
        1230        6195         12
        1232        6066         12
        1232        6145         19
        1232        6167         89
        1232        6191          3
        1232        6196         56
        1233        1038          5
        1235        6255         11
        1237        1256          9
        1237        1410         94
        1241        1073         15
        1242        1619         70
        1242        6155         26
        1245        6026         40
        1245        6104         13
        1245        6193         10
        1245        6196         63
        1250        6189         14
        1250        6207        146
        1256        6212          9
        1258        1534         29
        1258        6134         18
        1265        6144         14
        1267        1279         13
        1268        1073          8
        1268        6071        114
        1269        1268          8
        1270        6264         21
        1278        6181         15
        1279        1267         13
        1279        6007         26
        1291        1022         12
        1291        6217         19
        1293        6229         11
        1295        5014         29
        1298        1125          6
        1299        6154         19
        1302        1109         21
        1302        6148         70
        1305        6052         11
        1306        6228         10
        1307        6142         35
        1307        6185         10
        1307        6222         22
        1308        6137         10
        1308        6245         20
        1310        6243         32
        1311        1322          8
        1313        1233          5
        1313        5365         21
        1313        6170         14
        1313        6175          3
        1313        6205         35
        1313        6234         11
        1313        6250         17
        1314        6026         44
        1315        1311          8
        1315        6237          8
        1316        3227          5
        1317        1329          5
        1317        5123        141
        1317        6053         34
        1317        6138         19
        1317        6235          5
        1318        6202         20
        1318        6256         22
        1319        6218          7
        1321        6169         19
        1322        6107         44
        1322        6237          8
        1325        6138         78
        1327        6124         13
        1328        6103         51
        1328        6172         31
        1328        6227         28
        1328        6230         10
